Period,Value
Nov-2009,965
Dec-2009,1911
Jan-2010,2150
Feb-2010,948
Mar-2010,948
Apr-2010,858
May-2010,1015
Jun-2010,1020
Jul-2010,1003
Aug-2010,2134
Sep-2010,1400
Oct-2010,905
Nov-2010,978
Dec-2010,1879
Jan-2011,1950
Feb-2011,960
Mar-2011,881
Apr-2011,797
May-2011,936
Jun-2011,902
Jul-2011,865
Aug-2011,2142
Sep-2011,1335
Oct-2011,751
Nov-2011,797
Dec-2011,1400
Jan-2012,1716
Feb-2012,821
Mar-2012,756
Apr-2012,742
May-2012,887
Jun-2012,839
Jul-2012,785
Aug-2012,1836
Sep-2012,1097
Oct-2012,717
Nov-2012,755
Dec-2012,1318
Jan-2013,1660
Feb-2013,742
Mar-2013,707
Apr-2013,664
May-2013,821
Jun-2013,724
Jul-2013,705
Aug-2013,1568
Sep-2013,1106
Oct-2013,718
Nov-2013,742
Dec-2013,1323
Jan-2014,1479
Feb-2014,727
Mar-2014,680
Apr-2014,679
May-2014,789
Jun-2014,698
Jul-2014,702
Aug-2014,1698
Sep-2014,1067
Oct-2014,725
Nov-2014,729
Dec-2014,1335
Jan-2015,1487
Feb-2015,686
Mar-2015,656
Apr-2015,651
May-2015,750
Jun-2015,683
Jul-2015,692
Aug-2015,1546
Sep-2015,1063
Oct-2015,718
Nov-2015,724
Dec-2015,1318
Jan-2016,1424
Feb-2016,687
Mar-2016,681
Apr-2016,671
May-2016,741
Jun-2016,677
Jul-2016,652
Aug-2016,1496
Sep-2016,1037
Oct-2016,688
Nov-2016,718
Dec-2016,1244
Jan-2017,1380
Feb-2017,672
Mar-2017,690
Apr-2017,712
May-2017,766
Jun-2017,685
Jul-2017,647
Aug-2017,1370
Sep-2017,976
Oct-2017,654
Nov-2017,663
Dec-2017,1114
Jan-2018,1219
Feb-2018,646
Mar-2018,665
Apr-2018,638
May-2018,707
Jun-2018,647
Jul-2018,620
Aug-2018,1247
Sep-2018,886
Oct-2018,654
Nov-2018,680
Dec-2018,1149
Jan-2019,1029
Feb-2019,585
Mar-2019,603
Apr-2019,650
May-2019,696
Jun-2019,613
Jul-2019,591
Aug-2019,1124
Sep-2019,871
Oct-2019,650
Nov-2019,640
Dec-2019,1074
Jan-2020,990
Feb-2020,593
Mar-2020,406
Apr-2020,169
May-2020,275
Jun-2020,388
Jul-2020,437
Aug-2020,770
Sep-2020,620
Oct-2020,455
Nov-2020,496
Dec-2020,900
